                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.65174,                0.45758,                0.94025,                0.99243,                0.99395,                0.99497,                 0.8809,                 0.5573,                0.37096,                0.90531,             0.00013413,             0.00013413,             0.00013413
                    121,                0.66473,                0.44699,                0.93236,                 0.9933,                0.99532,                0.99497,                 0.8715,                0.59577,                0.36475,                0.91912,                0.00013,                0.00013,                0.00013
                    122,                0.64119,                0.45746,                0.93792,                0.99262,                0.99539,                0.99495,                0.87469,                0.55938,                0.35394,                0.90329,             0.00012588,             0.00012588,             0.00012588
                    123,                0.65877,                0.49817,                0.95884,                0.99554,                0.99527,                0.99489,                0.87489,                0.57569,                0.36229,                0.90923,             0.00012175,             0.00012175,             0.00012175
                    124,                0.64253,                0.43657,                 0.9567,                0.99697,                0.99505,                0.99492,                0.87968,                0.56101,                0.35994,                0.90458,             0.00011763,             0.00011763,             0.00011763
                    125,                0.64901,                0.46273,                0.94871,                0.99653,                0.99693,                0.99498,                0.87925,                0.57406,                0.37829,                0.91384,              0.0001135,              0.0001135,              0.0001135
                    126,                 0.6218,                0.44409,                0.93226,                0.99344,                0.99523,                0.99492,                0.87415,                 0.5721,                0.37436,                0.91389,             0.00010937,             0.00010937,             0.00010937
                    127,                0.61819,                0.42946,                 0.9377,                 0.9946,                0.99531,                0.99492,                0.87964,                0.56573,                0.35518,                0.90889,             0.00010525,             0.00010525,             0.00010525
                    128,                 0.6535,                0.44976,                0.94619,                0.99526,                0.99615,                0.99497,                0.87903,                0.57155,                0.35535,                0.91219,             0.00010113,             0.00010113,             0.00010113
                    129,                0.65754,                 0.4464,                 0.9547,                0.99377,                0.99526,                0.99495,                 0.8828,                0.55995,                0.35447,                0.90693,                9.7e-05,                9.7e-05,                9.7e-05
                    130,                0.64969,                 0.4712,                0.93292,                 0.9922,                0.99694,                  0.995,                0.87263,                0.57531,                0.36752,                 0.9109,             9.2875e-05,             9.2875e-05,             9.2875e-05
                    131,                0.63094,                 0.4574,                0.92991,                0.99053,                0.99761,                  0.995,                 0.8801,                0.56104,                0.36135,                 0.9032,              8.875e-05,              8.875e-05,              8.875e-05
                    132,                0.62958,                0.43715,                0.93119,                0.99356,                0.99481,                  0.995,                0.87882,                 0.5583,                0.35512,                 0.9009,             8.4625e-05,             8.4625e-05,             8.4625e-05
                    133,                0.66663,                0.45635,                0.98166,                0.99491,                0.99349,                  0.995,                  0.879,                0.56894,                0.36064,                0.90361,               8.05e-05,               8.05e-05,               8.05e-05
                    134,                0.61232,                0.42753,                0.93136,                0.99347,                0.99323,                0.99496,                 0.8783,                0.55212,                0.35211,                0.90085,             7.6375e-05,             7.6375e-05,             7.6375e-05
                    135,                0.61173,                  0.437,                 0.9297,                0.99533,                0.99411,                0.99496,                0.87791,                0.55574,                0.34638,                0.90383,              7.225e-05,              7.225e-05,              7.225e-05
                    136,                0.60818,                 0.4142,                 0.9399,                 0.9952,                0.99472,                0.99492,                0.88007,                0.55562,                0.35269,                0.90182,             6.8125e-05,             6.8125e-05,             6.8125e-05
                    137,                0.61932,                0.42315,                0.91774,                0.99385,                0.99558,                0.99496,                0.88235,                 0.5573,                0.35887,                0.90247,                6.4e-05,                6.4e-05,                6.4e-05
                    138,                0.63428,                0.50847,                0.92823,                0.99381,                0.99314,                0.99496,                0.88577,                0.54941,                0.35513,                0.90036,             5.9875e-05,             5.9875e-05,             5.9875e-05
                    139,                0.63624,                0.44867,                0.92582,                0.99446,                 0.9932,                0.99496,                0.88588,                 0.5482,                0.34528,                0.90147,              5.575e-05,              5.575e-05,              5.575e-05
                    140,                0.59546,                0.43518,                0.99454,                0.99368,                0.99439,                0.99496,                0.88541,                0.54586,                0.34198,                0.90124,             5.1625e-05,             5.1625e-05,             5.1625e-05
                    141,                0.57513,                0.42117,                0.98766,                0.99302,                0.99503,                0.99492,                0.88245,                0.55503,                0.35006,                0.90586,               4.75e-05,               4.75e-05,               4.75e-05
                    142,                0.57425,                0.39175,                0.94772,                0.99533,                0.99391,                0.99496,                0.88298,                0.55392,                0.35312,                0.90594,             4.3375e-05,             4.3375e-05,             4.3375e-05
                    143,                 0.5707,                0.41543,                0.96446,                0.99756,                0.99361,                0.99496,                0.88219,                0.54758,                0.34507,                0.90407,              3.925e-05,              3.925e-05,              3.925e-05
                    144,                0.55912,                0.38273,                0.94537,                 0.9962,                0.99527,                  0.995,                0.88107,                0.54731,                0.33737,                0.90273,             3.5125e-05,             3.5125e-05,             3.5125e-05
                    145,                0.57351,                0.40363,                 0.9959,                0.99694,                 0.9951,                  0.995,                 0.8804,                0.55087,                0.33505,                 0.9023,                3.1e-05,                3.1e-05,                3.1e-05
                    146,                0.56262,                0.38223,                0.94591,                0.99681,                0.99537,                  0.995,                0.88086,                0.54595,                0.33546,                0.89979,             2.6875e-05,             2.6875e-05,             2.6875e-05
                    147,                0.56948,                0.38852,                0.93163,                0.99617,                 0.9954,                  0.995,                0.88466,                0.54564,                0.33711,                0.89819,              2.275e-05,              2.275e-05,              2.275e-05
                    148,                0.55707,                0.37216,                0.93527,                0.99598,                 0.9955,                  0.995,                0.88405,                0.54628,                0.33717,                0.89825,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    149,                0.57076,                0.39196,                0.93287,                0.99613,                0.99596,                  0.995,                0.88696,                0.54911,                0.33631,                0.89846,               1.45e-05,               1.45e-05,               1.45e-05
