                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  0.748,                0.66897,                 1.0512,                0.96069,                0.97135,                0.98762,                0.84249,                0.64812,                0.48431,                 1.0345,             0.00011597,             0.00011597,             0.00011597
                     83,                0.73187,                0.63047,                 1.0539,                0.96945,                0.98007,                0.99009,                 0.8462,                0.64271,                 0.4661,                 1.0304,             0.00011502,             0.00011502,             0.00011502
                     84,                0.76101,                0.66404,                 1.0624,                0.96013,                0.98148,                0.98924,                0.83867,                0.66004,                0.48193,                 1.0291,             0.00011407,             0.00011407,             0.00011407
                     85,                0.74808,                0.61579,                 1.0406,                 0.9667,                0.98238,                0.98893,                0.83621,                 0.6612,                0.44454,                 1.0381,             0.00011312,             0.00011312,             0.00011312
                     86,                0.75828,                0.64484,                 1.0625,                0.97422,                0.98527,                0.99069,                0.84178,                0.66543,                0.44354,                 1.0374,             0.00011217,             0.00011217,             0.00011217
                     87,                0.73683,                0.61538,                 1.0395,                0.97448,                0.98845,                0.99201,                0.83906,                0.67214,                0.43717,                 1.0354,             0.00011122,             0.00011122,             0.00011122
                     88,                0.73363,                0.58758,                 1.0341,                0.97681,                 0.9879,                0.99133,                0.84238,                 0.6639,                0.43145,                 1.0319,             0.00011027,             0.00011027,             0.00011027
                     89,                0.73334,                0.62058,                 1.0456,                0.96942,                 0.9845,                0.99087,                0.84678,                 0.6381,                0.44706,                 1.0236,             0.00010932,             0.00010932,             0.00010932
                     90,                0.71379,                0.59328,                  1.039,                0.96041,                0.98331,                0.99186,                0.84832,                0.64238,                0.45856,                 1.0284,             0.00010836,             0.00010836,             0.00010836
                     91,                0.72557,                 0.5973,                 1.0478,                0.97006,                0.98755,                0.99284,                0.84125,                0.67146,                  0.433,                 1.0345,             0.00010741,             0.00010741,             0.00010741
                     92,                 0.7187,                0.60423,                 1.0346,                 0.9739,                0.98822,                0.99206,                0.84777,                0.63948,                0.42444,                 1.0214,             0.00010646,             0.00010646,             0.00010646
                     93,                0.71353,                0.59141,                 1.0379,                0.96859,                0.98417,                0.99045,                0.85164,                0.62972,                0.42934,                 1.0152,             0.00010551,             0.00010551,             0.00010551
                     94,                0.72191,                0.61053,                 1.0321,                0.95531,                0.98629,                0.99233,                0.84566,                 0.6395,                0.44154,                 1.0238,             0.00010456,             0.00010456,             0.00010456
                     95,                0.71389,                0.60955,                 1.0394,                0.94763,                0.96914,                 0.9908,                0.85024,                0.63636,                0.46224,                 1.0178,             0.00010361,             0.00010361,             0.00010361
